url,title
,
https://square.github.io/keywhiz/,Keywhiz: Square's system for distributing and managing secrets
,
https://gus-massa.blogspot.com/2015/04/if-1x-is-1-how-much-is-1-x.html,"If 1+x is 1, how much is 1-x?"
,
http://jeremycai.com/labor.html,The Modern Workforce
,
http://blogs.wsj.com/digits/2015/04/20/websites-prep-for-googles-mobilegeddon/?mod=LS1,Websites Prep for Google’s ‘Mobilegeddon’
,
http://techcrunch.com/2015/04/21/ubuntu-15-04-launches-with-support-for-openstack-kilo-new-lxd-hypervisor-and-snappy-core/,"Ubuntu 15.04 Launches with Support for OpenStack Kilo, New LXD Hypervisor"
,
http://blog.jessriedel.com/2015/04/16/beyond-papers-gitwikxiv/,GitWikXiv: Toward a successor to the academic paper
,
https://github.com/mswift42/theme-creator,Show HN: Emacs Theme Creator
,
http://www.wired.com/2015/04/dmca-ownership-john-deere/?mbid=social_fb,We Can’t Let John Deere Destroy the Idea of Ownership
,
https://medium.com/@kwindla/a-technical-founder-s-notes-on-sales-team-management-60e1a93d4648?r=hn,A Technical Founder’s Notes on Sales Team Management
,
https://hacks.mozilla.org/2015/04/easier-in-app-payments-with-fxpay/,Fxpay: Mozilla's JavaScript library for in-app payments
,
http://techcrunch.com/2015/04/21/mytime-scheduler/,MyTime raises $9.3M to build mobile-first local business scheduling
,
http://www.2ality.com/2015/04/deploying-es6.html,Deploying ECMAScript 6
,
http://nginx.org/?1.8,Nginx 1.8.0 stable has been released
,
https://mitchkirby.wordpress.com/,"When You Lose Weight, Where Does It Go?"
,
https://gravityandlevity.wordpress.com/2009/07/08/your-body-wasnt-built-to-last-a-lesson-from-human-mortality-rates/,Your body wasn’t built to last: a lesson from human mortality rates
,
https://ma.ttias.be/magento-ecommerce-php-remote-code-execution,Magento eCommerce PHP Remote Code Execution
,
https://www.techempower.com/blog/2015/04/21/framework-benchmarks-round-10/,TechEmpower's Web Framework Benchmarks Round 10
,
http://www.independent.co.uk/environment/nature/have-you-heard-the-hum-mystery-of-earths-low-droning-noise-could-now-be-solved-10182111.html,Have you heard 'the hum'? Mystery of Earth's low droning noise solved?
,
http://www.plangrid.com/en/jobs,PlanGrid (YC W12) Is Hiring Mobile/Back End/Web/Data Science Hackers
,
https://www.techempower.com/benchmarks/#section=data-r10,Techempower Web Framework Benchmarks Round 10
,
http://www.theguardian.com/world/2015/apr/21/chimpanzees-granted-legal-persons-status-unlawful-imprisonment,Chimpanzees granted 'legal persons' status to defend their rights in court
,
https://www.claimyourname.io,Show HN: Get a personal site on your own domain name in just a few minutes
,
https://archive.org/details/Year1999Ad,Film made in 1967 about 1999
,
https://catbillboard.wordpress.com/,Million Dollar Cat Billboard
,
https://github.com/rails/rails/pull/19832,Rails API is coming to Rails 5
,
http://www.historytoday.com/paul-fouracre/origins-early-medieval-state,The Origins of the Early Medieval State
,
http://www.newrepublic.com/article/121560/bibliophiles-defense-physical-books,Object Lesson: Why we need physical books
,
http://www.bbc.com/news/business-32406056,UK trader in fraud arrest over US 'flash crash'
,
http://aleph.nu/blog/2015/the-python-road-not-taken/,The Python Road Not Taken
,
http://phys.org/news/2015-04-gravitational-constant-vary.html,Why do measurements of the gravitational constant vary so much?
news?p=2,More
